＃,系統,權限,功能 / 頁面,測試功能,測試情境,操作步驟,期望結果
1,SuperDSP,"Onead User
Agency User",廣告活動 - Campaign Level,【正向】【UI/UX】Dashboard 顯示,當廣告活動中的 Ad group 未上刊或未花費時，Dashboard應顯示正確數值 ,1. 完成建立一廣告活動，且未建立任何 Ad group,"1. Dashboard 應顯示正確的走期、總預算/花費(零）、廣告目的及廣告品類內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
2,SuperDSP,"Onead User
Agency User",廣告活動 - Campaign Level,【正向】【UI/UX】Dashboard 顯示,"當廣告活動中的 Ad group 已上刊,且產生花費時，Dashboard應顯示正確數值 ",1. 將廣告活動中的  Adgroup 調整為上刊，且已產生數據資料 (已刷廣告）,"1. Dashboard 應顯示正確的走期、總預算/花費、廣告目的及廣告品類內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
3,SuperDSP,"Onead User
Agency User",廣告活動 - Campaign Level,【反向】【UI/UX】Dashboard 顯示,"當廣告活動中的 Ad group 已上刊,且花費大於預算時，Dashboard應顯示正確數值 ",1. 將廣告活動中的 Adgroup 調整為上刊，且已產生數據資料大於預算 (已刷廣告花費大於預算）,"1. Dashboard 應顯示正確的走期、總預算/花費、廣告目的及廣告品類內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 當花費大於預算時，已花費需真實呈現"
4,SuperDSP,"Onead User
Agency User",Campaign Level - 廣告列表,【正向】【UI/UX】廣告列表資訊欄顯示,當廣告活動中的 Ad group 未上刊或未花費時,1. 建立一 Ad group 未將狀態調整為上刊，或上刊未產生任何數據 (未刷廣告）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
5,SuperDSP,"Onead User
Agency User",Campaign Level - 廣告列表,【正向】【UI/UX】廣告列表資訊欄顯示,當廣告活動中的 Ad group 已上刊，且已產生花費時,1. 建立一 Ad group 將狀態調整為上刊，且產生數據資料 (已刷廣告）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態"
6,SuperDSP,"Onead User
Agency User",Campaign Level - 廣告列表,【反向】【UI/UX】廣告列表資訊欄顯示,當廣告活動中的 Ad group 已上刊，且花費大於預算時,1. 建立一 Ad group 將狀態調整為上刊，且已產生數據資料大於預算 (已刷廣告花費大於預算）,"1. 列表資訊應顯示正確的走期、預算及花費等內容
2. 總預算/花費不應因爲計價單位、數值型態及其他因素導致顯示天文數字及其他不正確的型態
3. 當花費大於預算時，已花費需真實呈現"
7,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【正向】【UI/UX】走期 Filter 驗證,當廣告活動列表中僅有一筆時,"1. 建立一筆廣告活動，走期設定為 2026/02/01 ~ 2026/02/05 並完成新增
2. 點擊走期 Filter 驗證功能",1. 走期 Filter 的日期範圍不得超出 2026/02/01 ~ 2026/02/05 
8,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【正向】【UI/UX】走期 Filter 驗證,當廣告活動列表中有多筆時,"1. 建立一筆廣告活動，走期設定為 2026/02/01 ~ 2026/02/05
2. 建立一筆廣告活動，走期設定為 2026/02/07 ~ 2026/02/08
2. 點擊走期 Filter 驗證功能",1. 走期 Filter 的日期範圍不得超出 2026/02/01 ~ 2026/02/08
9,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【反向】【UI/UX】走期 Filter 驗證,當廣告活動列表中有一筆或多筆時,1. 走期 Filter 設定超出 Campaign 走期範圍的日期,1. 走期 Filter 的日期範圍不得超出 Campaign 最早及最晚的日期範圍
10,SuperDSP,"Onead User
Agency User",Campaign Level - 走期 Filter,【反向】【UI/UX】走期 Filter 驗證,當廣告活動列表中無任何廣告時,1. 不建立任一筆廣告活動,1. 無廣告活動時，時間搜尋 Disable
